"","Temp","Year","Month","Day","Dist","Month2","Season","Full"
"1",0.8,1961,"Jan",2,0,1,"Winter","Full"
"2",3.2,1961,"Jan",31,0,1,"Winter","Full"
"3",4.8,1961,"Mar",2,0,3,"Spring","Full"
"4",-0.8,1961,"Apr",1,0,4,"Spring","Full"
"5",9.2,1961,"Apr",30,0,4,"Spring","Full"
"6",19.8,1961,"May",30,0,5,"Spring","Full"
"7",17.1,1961,"Jun",28,0,6,"Summer","Full"
"8",14.6,1961,"Jul",27,0,7,"Summer","Full"
"9",17.2,1961,"Aug",26,0,8,"Summer","Full"
"10",11.9,1961,"Sep",24,0,9,"Autumn","Full"
"11",10.4,1961,"Oct",23,0,10,"Autumn","Full"
"12",-2.2,1961,"Nov",22,0,11,"Autumn","Full"
"13",-7.8,1961,"Dec",22,0,12,"Winter","Full"
"14",4.4,1962,"Jan",20,0,1,"Winter","Full"
"15",4.2,1962,"Feb",19,0,2,"Winter","Full"
"16",0.9,1962,"Mar",21,0,3,"Spring","Full"
"17",11.6,1962,"Apr",20,0,4,"Spring","Full"
"18",9.6,1962,"May",19,0,5,"Spring","Full"
"19",16.7,1962,"Jun",18,0,6,"Summer","Full"
"20",14.8,1962,"Jul",17,0,7,"Summer","Full"
"21",12.8,1962,"Aug",15,0,8,"Summer","Full"
"22",12,1962,"Sep",14,0,9,"Autumn","Full"
"23",7.4,1962,"Oct",13,0,10,"Autumn","Full"
"24",2.2,1962,"Nov",11,0,11,"Autumn","Full"
"25",3.7,1962,"Dec",11,0,12,"Winter","Full"
"26",-10.5,1963,"Jan",10,0,1,"Winter","Full"
"27",-3.9,1963,"Feb",8,0,2,"Winter","Full"
"28",-1,1963,"Mar",10,0,3,"Spring","Full"
"29",6.1,1963,"Apr",9,0,4,"Spring","Full"
"30",12.1,1963,"May",8,0,5,"Spring","Full"
"31",20.5,1963,"Jun",7,0,6,"Summer","Full"
"32",19.8,1963,"Jul",6,0,7,"Summer","Full"
"33",22.6,1963,"Aug",5,0,8,"Summer","Full"
"34",16.9,1963,"Sep",3,0,9,"Autumn","Full"
"35",9.5,1963,"Oct",3,0,10,"Autumn","Full"
